3C:2C:94,"杭州德澜科技有限公司（HangZhou Delan Tech Co, Ltd）"
70:B3:D5:8A:C,"​Asung Techno Co, Ltd"
48:BC:A6,"​Asung Techno Co, Ltd"
70:B3:D5:A9:6,Östling Marking Systems GmbH
00:50:C2:57:C,éolane
00:1B:A1,Åmic AB
F8:E7:B5,µTech Tecnologia Ltda
9C:69:B4:D,«Intellect module» Llc
70:B3:D5:81:9,«Intellect module» Llc
FC:F5:28,Zyxel Communications Corp
E8:37:7A,Zyxel Communications Corp
1C:74:0D,Zyxel Communications Corp
5C:6A:80,Zyxel Communications Corp
5C:E2:8C,Zyxel Communications Corp
00:19:CB,Zyxel Communications Corp
C8:54:4B,Zyxel Communications Corp
C8:6C:87,Zyxel Communications Corp
50:67:F0,Zyxel Communications Corp
40:4A:03,Zyxel Communications Corp
BC:99:11,Zyxel Communications Corp
8C:59:73,Zyxel Communications Corp
A0:E4:CB,Zyxel Communications Corp
CC:5D:4E,Zyxel Communications Corp
BC:CF:4F,Zyxel Communications Corp
B0:B2:DC,Zyxel Communications Corp
28:28:5D,Zyxel Communications Corp
90:EF:68,Zyxel Communications Corp
60:31:97,Zyxel Communications Corp
B8:EC:A3,Zyxel Communications Corp
EC:43:F6,Zyxel Communications Corp
08:26:97,Zyxel Communications Corp
5C:F4:AB,Zyxel Communications Corp
B8:D5:26,Zyxel Communications Corp
4C:9E:FF,Zyxel Communications Corp
E4:18:6B,Zyxel Communications Corp
10:7B:EF,Zyxel Communications Corp
00:A0:C5,Zyxel Communications Corp
88:AC:C0,Zyxel Communications Corp
00:23:F8,Zyxel Communications Corp
58:8B:F3,Zyxel Communications Corp
04:BF:6D,Zyxel Communications Corp
54:83:3A,Zyxel Communications Corp
D8:91:2A,Zyxel Communications Corp
00:13:49,Zyxel Communications Corp
98:0D:67,Zyxel Communications Corp
B0:89:C2,Zyptonite
00:90:17,"Zypcom, Inc"
00:25:1F,Zynus Vision Inc
00:50:C2:94:E,Zynix Original Sdn. Bhd.
00:23:23,Zylin AS
00:1A:53,Zylaya
00:A0:B3,Zykronix
00:1C:A5,Zygo Corp
00:02:CF,"ZyGate Communications, Inc"
00:0A:6F,ZyFLEX Tech Inc
68:69:2E,"Zycoo Co, Ltd"
F8:0D:EA,ZyCast Tech Inc
B4:37:D1:D,Zxy Sport Tracking
00:E0:4A,"ZX Tech, Inc"
78:35:A0,Zurn Industries Llc
00:15:12,Zurich University of Applied Sciences
80:2F:DE,Zurich Instruments AG
58:B0:D4,ZuniData Systems Inc
70:B3:D5:B1:0,Zumbach Electronic AG
70:B3:D5:7B:4,Zumbach Electronic AG
00:50:C2:70:F,Zumbach Electronic AG
00:02:1A,Zuma Networks
00:50:C2:18:0,Zultys Tech
00:0B:EA,Zultys Tech
70:B3:D5:95:9,"Zulex International Co, Ltd"
00:23:EF,Zuend Systemtechnik AG
00:50:C2:BE:9,Zucchetti Spa
38:4B:5B,Ztron Tech Ltd
EC:EE:D8,"Ztlx Network Tech Co, Ltd"
78:66:AE,"Ztec Instruments, Inc"
EC:F0:FE,zte Corp
E4:BD:4B,zte Corp
D0:58:A8,zte Corp
0C:72:D9,zte Corp
5C:3A:3D,zte Corp
